Date,Event,Company,Impact
15-02-2024,Tesla Model 3 refresh launch in China,TSLA,Positive
04-03-2024,Q4 2023 Earnings Report - Revenue Miss,TSLA,Negative
14-06-2024,Shareholder vote on Elon Musk pay package,TSLA,Neutral
10-10-2024,Tesla Robotaxi unveiling event,TSLA,Positive
28-02-2020,COVID-19 declared global pandemic,AAPL,Negative
23-01-2020,Q1 2020 Earnings Beat - Record iPhone sales,AAPL,Positive
03-06-2020,WWDC 2020 - Apple Silicon announcement,AAPL,Positive
13-10-2020,iPhone 12 Launch Event,AAPL,Positive
02-02-2021,Amazon Q4 2020 Earnings - Record profit,AMZN,Positive
05-04-2021,Jeff Bezos announces CEO transition to Andy Jassy,AMZN,Negative
29-07-2021,Amazon Q2 2021 Earnings Miss,AMZN,Negative
09-09-2021,Amazon announces $1B India investment,AMZN,Positive
